clustered_ci95_high,clustered_ci95_low,contrast_plus_minus,dataset,effect,interpretation,metric,paired_dataset_horizon_seed_cells
-0.0019077187508508605,-0.0019077187508508605,-0.0019077187508508605,Electricity,bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.00017764108729683217,0.00017764108729683217,0.00017764108729683217,Traffic,bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.00321489358978163,-6.350057065410109e-05,0.0015215094422340704,ALL,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,84
-0.0009645719536389303,-0.0009645719536389303,-0.0009645719536389303,ETTh1,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.00047989229775082545,0.00047989229775082545,0.00047989229775082545,ETTh2,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.0004022988019255688,0.0004022988019255688,0.0004022988019255688,ETTm1,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
5.393342261139749e-05,5.393342261139749e-05,5.393342261139749e-05,ETTm2,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.0003130544431183089,0.0003130544431183089,0.0003130544431183089,Weather,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.005414343741247721,0.005414343741247721,0.005414343741247721,Electricity,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.004951615342623603,0.004951615342623603,0.004951615342623603,Traffic,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.003146155177693681,-0.002021679958922344,0.0005327949771165468,ALL,scale,negative contrast favors the +1 level(s),mae,84
0.006328530197910555,0.006328530197910555,0.006328530197910555,ETTh1,scale,negative contrast favors the +1 level(s),mae,12
0.004516447967281758,0.004516447967281758,0.004516447967281758,ETTh2,scale,negative contrast favors the +1 level(s),mae,12
-1.6946082439886257e-05,-1.6946082439886257e-05,-1.6946082439886257e-05,ETTm1,scale,negative contrast favors the +1 level(s),mae,12
-0.0005377458840525514,-0.0005377458840525514,-0.0005377458840525514,ETTm2,scale,negative contrast favors the +1 level(s),mae,12
0.0008878218799635776,0.0008878218799635776,0.0008878218799635776,Weather,scale,negative contrast favors the +1 level(s),mae,12
-0.0037785730943462963,-0.0037785730943462963,-0.0037785730943462963,Electricity,scale,negative contrast favors the +1 level(s),mae,12
-0.003669970144501329,-0.003669970144501329,-0.003669970144501329,Traffic,scale,negative contrast favors the +1 level(s),mae,12
-0.0005601932206729708,-0.0041462094098612175,-0.002436036531408164,ALL,bank,negative contrast favors the +1 level(s),mae,84
-0.005369461475123534,-0.005369461475123534,-0.005369461475123534,ETTh1,bank,negative contrast favors the +1 level(s),mae,12
-0.0032052728610576105,-0.0032052728610576105,-0.0032052728610576105,ETTh2,bank,negative contrast favors the +1 level(s),mae,12
0.0012539655789444114,0.0012539655789444114,0.0012539655789444114,ETTm1,bank,negative contrast favors the +1 level(s),mae,12
-0.004194589005092956,-0.004194589005092956,-0.004194589005092956,ETTm2,bank,negative contrast favors the +1 level(s),mae,12
0.001071396393793888,0.001071396393793888,0.001071396393793888,Weather,bank,negative contrast favors the +1 level(s),mae,12
-0.0021463513240165704,-0.0021463513240165704,-0.0021463513240165704,Electricity,bank,negative contrast favors the +1 level(s),mae,12
-0.004461943027304777,-0.004461943027304777,-0.004461943027304777,Traffic,bank,negative contrast favors the +1 level(s),mae,12
-0.0006670603576040139,-0.030608112363621435,-0.01486660447575117,ALL,continuation,negative contrast favors the +1 level(s),mae,84
0.0003037779114635798,0.0003037779114635798,0.0003037779114635798,ETTh1,continuation,negative contrast favors the +1 level(s),mae,12
-0.0017993645842839974,-0.0017993645842839974,-0.0017993645842839974,ETTh2,continuation,negative contrast favors the +1 level(s),mae,12
-0.002547954955134642,-0.002547954955134642,-0.002547954955134642,ETTm1,continuation,negative contrast favors the +1 level(s),mae,12
-0.0005884085347056303,-0.0005884085347056303,-0.0005884085347056303,ETTm2,continuation,negative contrast favors the +1 level(s),mae,12
-9.882708835621107e-05,-9.882708835621107e-05,-9.882708835621107e-05,Weather,continuation,negative contrast favors the +1 level(s),mae,12
-0.04696929044260522,-0.04696929044260522,-0.04696929044260522,Electricity,continuation,negative contrast favors the +1 level(s),mae,12
-0.05236616363663607,-0.05236616363663607,-0.05236616363663607,Traffic,continuation,negative contrast favors the +1 level(s),mae,12
