ablation_protocol,ablation_seed,backbone_patch_lens,backbone_switches,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,continuation_unfreeze_blocks,dataset,elapsed_seconds,horizon,inducing_points,inference_ms_batch,latent_dim,mae,model,mse,nll_weight,num_windows,parameters,patch_lens,primal_dual,representation_weight,rmse,seed,selected_hyperparameters,selection_protocol,source_model,training_ms_optimizer_step,variant
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",4,backbone,0.6633425829361896,,,,ETTm1,42.70277112303302,336,,5.433099072181052,,0.42868255786643383,LatentFlow,0.4305753506448836,,11185.0,,,False,,0.6561824065341005,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",5,backbone,0.9921640133100843,,,,ETTm1,41.996642819140106,720,,5.405301942548077,,0.458136830053861,LatentFlow,0.4791350857453859,,10801.0,,,False,,0.6921958434903996,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",2,backbone,0.40221638782393365,,,,ETTm1,42.37809368874878,96,,5.615355783281913,,0.3842874965149002,LatentFlow,0.3534331132253409,,11425.0,,,False,,0.5945024080904474,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",3,backbone,0.17376376351430303,,,,ETTm2,40.53665922000073,192,,5.332409402900909,,0.30740648685927036,LatentFlow,0.247435338035906,,11329.0,,,False,,0.49742872658895165,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",1,backbone,0.22287459742455257,,,,ETTm2,39.58006072090939,336,,5.061927078062279,,0.35259164706222773,LatentFlow,0.31668946924436064,,11185.0,,,False,,0.562751694128379,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",3,backbone,0.30168700662870257,,,,ETTm2,42.925111883028876,720,,5.831594376144959,,0.4068086251818098,LatentFlow,0.41508942443532015,,10801.0,,,False,,0.6442743394201884,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",3,backbone,0.13237783481322585,,,,ETTm2,44.52953106164932,96,,5.837454036045376,,0.26783714739819475,LatentFlow,0.1830648228435749,,11425.0,,,False,,0.4278607516979968,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",10,backbone,0.15627200581202996,,,,Electricity,81.90894430875778,192,,5.585448726302522,,0.2713724384242443,LatentFlow,0.1794662628521507,,5071.0,,,False,,0.4236345864682801,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",10,backbone,0.1738901620731034,,,,Electricity,85.40158943319693,336,,5.861479673549775,,0.29061044507627337,LatentFlow,0.19995148884779285,,4927.0,,,False,,0.4471593550936767,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",10,backbone,0.20424462909639068,,,,Electricity,92.86720187094761,720,,5.511480875414298,,0.32062495264484836,LatentFlow,0.238155337633999,,4543.0,,,False,,0.4880116162900213,42,True,,,,component_gated_field
