dataset,gflops_per_sample,gpu,horizon,inference_ms_batch,model,parameters_total,parameters_trainable,peak_inference_gpu_mb,peak_training_gpu_mb,profile_batch_size,training_ms_iter
ETTm1,0.427248213,NVIDIA GH200 120GB,336,3.0428463593125343,TimeMixer,224509.0,224509.0,39.767578125,82.4853515625,1,12.250530952587724
ETTm1,0.527720277,NVIDIA GH200 120GB,720,2.890904404921457,TimeMixer,280573.0,280573.0,41.16357421875,87.10546875,1,12.65148859238252
ETTm2,0.364453173,NVIDIA GH200 120GB,96,2.885133447125554,TimeMixer,189469.0,189469.0,39.62744140625,81.412109375,1,11.7892992682755
ETTm2,0.389571189,NVIDIA GH200 120GB,192,2.730257622897625,TimeMixer,203485.0,203485.0,39.68359375,81.578125,1,11.865652352571487
ETTm2,0.427248213,NVIDIA GH200 120GB,336,2.988661313429475,TimeMixer,224509.0,224509.0,39.767578125,82.4853515625,1,12.225529737770557
ETTm2,0.527720277,NVIDIA GH200 120GB,720,2.9037190892267972,TimeMixer,280573.0,280573.0,41.16357421875,87.10546875,1,10.796172503614798
Electricity,16.712781219,NVIDIA GH200 120GB,96,2.9737172997556627,TimeMixer,190725.0,190725.0,212.5009765625,631.921875,1,12.827432592166588
Electricity,17.864621667,NVIDIA GH200 120GB,192,2.877237321808934,TimeMixer,204741.0,204741.0,212.67236328125,659.93798828125,1,12.762323720380664
Electricity,19.592382339,NVIDIA GH200 120GB,336,2.9565907549113035,TimeMixer,225765.0,225765.0,212.9287109375,751.52685546875,1,12.807468324899673
Electricity,24.199744131,NVIDIA GH200 120GB,720,3.4390110115054995,TimeMixer,281829.0,281829.0,294.32177734375,891.59814453125,1,13.403319497592747
Traffic,44.879805018,NVIDIA GH200 120GB,96,4.821718716993928,TimeMixer,192889.0,192889.0,501.1298828125,1540.982421875,1,15.522074233740568
Traffic,47.972909274,NVIDIA GH200 120GB,192,5.2360850386321545,TimeMixer,206905.0,206905.0,501.4990234375,1560.005859375,1,15.817541256546974
Traffic,52.612565658,NVIDIA GH200 120GB,336,5.457385629415512,TimeMixer,227929.0,227929.0,502.052734375,1729.28662109375,1,16.37215642258525
Traffic,64.984982682,NVIDIA GH200 120GB,720,6.529633107129484,TimeMixer,283993.0,283993.0,732.4052734375,2220.46533203125,1,19.463821698445827
Weather,1.093359519,NVIDIA GH200 120GB,96,2.9882528353482485,TimeMixer,189525.0,189525.0,46.53759765625,104.9951171875,1,12.442917749285698
Weather,1.168713567,NVIDIA GH200 120GB,192,3.0174551531672478,TimeMixer,203541.0,203541.0,46.59912109375,106.671875,1,11.519479751586914
Weather,1.281744639,NVIDIA GH200 120GB,336,2.7704407926648855,TimeMixer,224565.0,224565.0,46.69091796875,113.21240234375,1,11.314968531951308
Weather,1.583160831,NVIDIA GH200 120GB,720,2.8430997859686613,TimeMixer,280629.0,280629.0,52.4501953125,129.43603515625,1,12.332426151260734
ETTh1,0.016065511,NVIDIA GH200 120GB,96,5.545417778193951,TimePro,911108.0,911108.0,36.53662109375,81.43359375,1,29.088569851592183
ETTh1,0.063784231,NVIDIA GH200 120GB,192,5.703079234808683,TimePro,3629572.0,3629572.0,46.94384765625,134.44970703125,1,29.798858053982258
ETTh1,0.064560391,NVIDIA GH200 120GB,336,5.493212444707751,TimePro,3685012.0,3685012.0,47.1591796875,135.5146484375,1,30.81689174287021
ETTh1,0.017751559,NVIDIA GH200 120GB,720,5.256322806235403,TimePro,1031540.0,1031540.0,37.0126953125,83.76416015625,1,27.76856460259296
ETTh2,0.031806439,NVIDIA GH200 120GB,96,2.803114941343665,TimePro,1813810.0,1813810.0,40.01318359375,98.9287109375,1,14.969626348465681
ETTh2,0.032323879,NVIDIA GH200 120GB,192,2.6264154352247715,TimePro,1850770.0,1850770.0,40.15673828125,99.63916015625,1,15.402184426784515
ETTh2,0.033100039,NVIDIA GH200 120GB,336,3.023189026862383,TimePro,1906210.0,1906210.0,40.3720703125,100.7041015625,1,16.867613745853305
ETTh2,0.016683079,NVIDIA GH200 120GB,720,2.660945791285485,TimePro,978546.0,978546.0,36.81591796875,82.716796875,1,15.34303369699046
ETTm1,0.031935127,NVIDIA GH200 120GB,96,3.0071554239839315,TimePro,1815426.0,1815426.0,40.01904296875,98.9580078125,1,15.4222397133708
ETTm1,0.063784231,NVIDIA GH200 120GB,192,5.497977323830128,TimePro,3629572.0,3629572.0,46.94384765625,134.44970703125,1,29.416032508015633
ETTm1,0.064560391,NVIDIA GH200 120GB,336,5.528364237397909,TimePro,3685012.0,3685012.0,47.1591796875,135.5146484375,1,32.43051888421178
ETTm1,0.066630151,NVIDIA GH200 120GB,720,4.83501311391592,TimePro,3832852.0,3832852.0,47.7333984375,140.07373046875,1,27.174417581409216
ETTm2,0.063266791,NVIDIA GH200 120GB,96,5.2980994048994035,TimePro,3592612.0,3592612.0,46.80029296875,133.7392578125,1,32.24909780547023
ETTm2,0.016324903,NVIDIA GH200 120GB,192,4.891983652487397,TimePro,929636.0,929636.0,36.60986328125,81.79248046875,1,27.87645971402526
ETTm2,0.016713991,NVIDIA GH200 120GB,336,5.385324498638511,TimePro,957428.0,957428.0,36.7197265625,82.330078125,1,28.05550992488861
ETTm2,0.017751559,NVIDIA GH200 120GB,720,5.100014997879043,TimePro,1031540.0,1031540.0,37.0126953125,83.76416015625,1,28.21830550674349
Electricity,11.478467265,NVIDIA GH200 120GB,96,117.36075282096863,TimePro,14258340.0,14258340.0,97.1005859375,337.38818359375,1,940.2677215170115
Electricity,11.525862273,NVIDIA GH200 120GB,192,104.37205797061324,TimePro,14332164.0,14332164.0,97.5,339.0322265625,1,908.7200223468244
Electricity,11.596954785,NVIDIA GH200 120GB,336,111.29308873787522,TimePro,14442900.0,14442900.0,98.0986328125,341.49658203125,1,884.9844609387219
Electricity,3.055468353,NVIDIA GH200 120GB,720,108.7516546016559,TimePro,3832852.0,3832852.0,52.92724609375,160.66357421875,1,990.3864962107036
Traffic,30.82379683,NVIDIA GH200 120GB,96,258.22600848041475,TimePro,14258340.0,14258340.0,115.14208984375,465.17822265625,1,2631.9226496852934
Traffic,30.951069406,NVIDIA GH200 120GB,192,311.9613870047033,TimePro,14332164.0,14332164.0,115.7392578125,468.53369140625,1,2802.9989950358868
Traffic,31.14197827,NVIDIA GH200 120GB,336,290.5492274556309,TimePro,14442900.0,14442900.0,117.5302734375,471.06201171875,1,2998.5892311669886
Traffic,31.651068574,NVIDIA GH200 120GB,720,273.3971911948174,TimePro,14738196.0,14738196.0,119.39501953125,479.251953125,1,2698.7536139786243
Weather,1.994981205,NVIDIA GH200 120GB,96,14.759933995082974,TimePro,37901318.0,37901318.0,178.26904296875,786.96337890625,1,93.61565397121012
Weather,0.503080725,NVIDIA GH200 120GB,192,15.280502196401358,TimePro,9562006.0,9562006.0,69.84375,251.4541015625,1,91.74548089504242
Weather,0.506183349,NVIDIA GH200 120GB,336,15.042950166389346,TimePro,9635878.0,9635878.0,70.13720703125,252.88623046875,1,99.37814306467772
Weather,0.292985301,NVIDIA GH200 120GB,720,16.894835914717987,TimePro,5605958.0,5605958.0,55.095703125,175.24658203125,1,104.7970793035347
ETTh1,0.056277312,NVIDIA GH200 120GB,96,1.1664848774671555,VPNet,672058.0,672058.0,35.74658203125,76.8388671875,1,6.395033420994878
ETTh1,0.062256768,NVIDIA GH200 120GB,192,1.1624057777225971,VPNet,672100.0,672100.0,35.83349609375,76.84375,1,6.2625945545732975
ETTh1,0.071225952,NVIDIA GH200 120GB,336,1.205482380464673,VPNet,672163.0,672163.0,35.96435546875,76.8515625,1,6.513521168380976
ETTh1,0.095143776,NVIDIA GH200 120GB,720,1.2190147768706083,VPNet,672331.0,672331.0,36.31396484375,76.876953125,1,6.6555289551615715
ETTh2,0.056277312,NVIDIA GH200 120GB,96,1.2155283940955997,VPNet,672058.0,672058.0,35.74658203125,76.8388671875,1,6.495794397778809
ETTh2,0.062256768,NVIDIA GH200 120GB,192,1.1555221863090992,VPNet,672100.0,672100.0,35.83349609375,76.84375,1,6.298966472968459
ETTh2,0.071225952,NVIDIA GH200 120GB,336,1.214464521035552,VPNet,672163.0,672163.0,35.96435546875,76.8515625,1,6.49502812884748
ETTh2,0.095143776,NVIDIA GH200 120GB,720,1.1664600926451385,VPNet,672331.0,672331.0,36.31396484375,76.876953125,1,6.452848593471572
ETTm1,0.056277312,NVIDIA GH200 120GB,96,1.239345408976078,VPNet,672058.0,672058.0,35.74658203125,76.8388671875,1,6.522794254124165
ETTm1,0.062256768,NVIDIA GH200 120GB,192,1.117596309632063,VPNet,672100.0,672100.0,35.83349609375,76.84375,1,6.500429660081863
ETTm1,0.071225952,NVIDIA GH200 120GB,336,1.199818029999733,VPNet,672163.0,672163.0,35.96435546875,76.8515625,1,6.549860304221511
ETTm1,0.095143776,NVIDIA GH200 120GB,720,1.2301585054956377,VPNet,672331.0,672331.0,36.31396484375,76.876953125,1,6.117932603228837
ETTm2,0.056277312,NVIDIA GH200 120GB,96,1.2455461081117392,VPNet,672058.0,672058.0,35.74658203125,76.8388671875,1,6.602725898846984
ETTm2,0.062256768,NVIDIA GH200 120GB,192,1.166671235114336,VPNet,672100.0,672100.0,35.83349609375,76.84375,1,6.173254456371069
ETTm2,0.071225952,NVIDIA GH200 120GB,336,1.2252998072654009,VPNet,672163.0,672163.0,35.96435546875,76.8515625,1,6.946949427947402
ETTm2,0.095143776,NVIDIA GH200 120GB,720,1.2097134022042155,VPNet,672331.0,672331.0,36.31396484375,76.876953125,1,6.454008200671524
Electricity,2.580716736,NVIDIA GH200 120GB,96,1.2281204981263727,VPNet,672058.0,672058.0,49.97314453125,133.83447265625,1,6.584757298696786
Electricity,2.854917504,NVIDIA GH200 120GB,192,1.1945649981498718,VPNet,672100.0,672100.0,50.0908203125,139.71240234375,1,6.390895182266831
Electricity,3.266218656,NVIDIA GH200 120GB,336,1.2249925639480352,VPNet,672163.0,672163.0,58.73046875,148.52880859375,1,6.517411628738046
Electricity,4.363021728,NVIDIA GH200 120GB,720,1.2459285964723676,VPNet,672331.0,672331.0,81.77197265625,174.33740234375,1,6.797987187746912
Traffic,6.930148992,NVIDIA GH200 120GB,96,1.2074895203113556,VPNet,672058.0,672058.0,70.8798828125,239.08056640625,1,6.803393177688122
Traffic,7.666476288,NVIDIA GH200 120GB,192,1.291598193347454,VPNet,672100.0,672100.0,76.24609375,254.86376953125,1,7.524317875504494
Traffic,8.770967232,NVIDIA GH200 120GB,336,1.2268933467566967,VPNet,672163.0,672163.0,100.4150390625,279.6552734375,1,7.033058209344745
Traffic,11.716276416,NVIDIA GH200 120GB,720,1.2708495953120291,VPNet,672331.0,672331.0,161.6787109375,342.19775390625,1,6.874197896104306
Weather,0.168831936,NVIDIA GH200 120GB,96,1.2600806541740894,VPNet,672058.0,672058.0,36.3173828125,76.853515625,1,6.078949943184853
Weather,0.186770304,NVIDIA GH200 120GB,192,1.1321723461151123,VPNet,672100.0,672100.0,36.35595703125,76.9228515625,1,6.216966267675161
Weather,0.213677856,NVIDIA GH200 120GB,336,1.1196205392479897,VPNet,672163.0,672163.0,36.74853515625,77.51171875,1,6.4286161214113235
Weather,0.285431328,NVIDIA GH200 120GB,720,1.3412797823548317,VPNet,672331.0,672331.0,37.79541015625,79.08349609375,1,6.4187591429799795
ETTh1,0.002234967,NVIDIA GH200 120GB,96,1.9447962928097695,iTransformer,290016.0,290016.0,34.14013671875,69.54150390625,1,7.988739589927718
ETTh1,0.002408343,NVIDIA GH200 120GB,192,1.9485164433717728,iTransformer,302400.0,302400.0,34.18994140625,69.783203125,1,7.995843002572656
ETTh1,0.002668407,NVIDIA GH200 120GB,336,1.8662470392882824,iTransformer,320976.0,320976.0,34.2646484375,70.14501953125,1,7.343155145645142
ETTh1,0.003361911,NVIDIA GH200 120GB,720,1.7697572999168187,iTransformer,370512.0,370512.0,34.4638671875,71.1103515625,1,7.35209389240481
ETTh2,0.002234967,NVIDIA GH200 120GB,96,1.8675667233765125,iTransformer,290016.0,290016.0,34.14013671875,69.54150390625,1,7.221331959590316
ETTh2,0.002408343,NVIDIA GH200 120GB,192,2.0365869626402855,iTransformer,302400.0,302400.0,34.18994140625,69.783203125,1,8.246964123100042
ETTh2,0.002668407,NVIDIA GH200 120GB,336,1.5958646312355995,iTransformer,320976.0,320976.0,34.2646484375,70.14501953125,1,7.655055122449994
ETTh2,0.003361911,NVIDIA GH200 120GB,720,2.0533969916868955,iTransformer,370512.0,370512.0,34.4638671875,71.1103515625,1,8.19114058976993
ETTm1,0.002234967,NVIDIA GH200 120GB,96,1.98034243658185,iTransformer,290016.0,290016.0,34.14013671875,69.54150390625,1,7.90553861297667
ETTm1,0.002408343,NVIDIA GH200 120GB,192,2.0426669158041477,iTransformer,302400.0,302400.0,34.18994140625,69.783203125,1,7.708837930113077
ETTm1,0.002668407,NVIDIA GH200 120GB,336,1.9772740080952644,iTransformer,320976.0,320976.0,34.2646484375,70.14501953125,1,7.598706614226103
ETTm1,0.003361911,NVIDIA GH200 120GB,720,1.8642385955899954,iTransformer,370512.0,370512.0,34.4638671875,71.1103515625,1,8.200206112815067
ETTm2,0.002234967,NVIDIA GH200 120GB,96,1.882081339135766,iTransformer,290016.0,290016.0,34.14013671875,69.54150390625,1,7.872340548783541
ETTm2,0.002408343,NVIDIA GH200 120GB,192,1.7751650884747505,iTransformer,302400.0,302400.0,34.18994140625,69.783203125,1,7.633667159825563
ETTm2,0.002668407,NVIDIA GH200 120GB,336,2.0730011630803347,iTransformer,320976.0,320976.0,34.2646484375,70.14501953125,1,7.845062669366598
ETTm2,0.003361911,NVIDIA GH200 120GB,720,1.942828856408596,iTransformer,370512.0,370512.0,34.4638671875,71.1103515625,1,7.364431070163846
Electricity,0.207314961,NVIDIA GH200 120GB,96,2.039865870028734,iTransformer,290016.0,290016.0,43.68115234375,90.68017578125,1,8.092955686151981
Electricity,0.215265489,NVIDIA GH200 120GB,192,2.2552828304469585,iTransformer,302400.0,302400.0,43.84619140625,91.10498046875,1,8.586030174046755
Electricity,0.227191281,NVIDIA GH200 120GB,336,2.045955089852214,iTransformer,320976.0,320976.0,44.09326171875,91.74072265625,1,8.354226499795914
Electricity,0.258993393,NVIDIA GH200 120GB,720,2.195742097683251,iTransformer,370512.0,370512.0,44.75244140625,93.43701171875,1,8.717160794185475
Traffic,1.041710622,NVIDIA GH200 120GB,96,2.157284365966916,iTransformer,290016.0,290016.0,104.1943359375,218.37158203125,1,7.983163604512811
Traffic,1.063060638,NVIDIA GH200 120GB,192,2.0821514539420605,iTransformer,302400.0,302400.0,104.55712890625,219.19189453125,1,7.965721841901541
Traffic,1.095085662,NVIDIA GH200 120GB,336,2.108950214460492,iTransformer,320976.0,320976.0,105.1015625,220.64111328125,1,7.787720253691077
Traffic,1.180485726,NVIDIA GH200 120GB,720,2.046865102602169,iTransformer,370512.0,370512.0,106.55322265625,224.5263671875,1,7.8569175908342
Weather,0.007010661,NVIDIA GH200 120GB,96,1.9618168997112662,iTransformer,290016.0,290016.0,34.20263671875,69.55615234375,1,7.672801607986912
Weather,0.007530789,NVIDIA GH200 120GB,192,2.019190927967429,iTransformer,302400.0,302400.0,34.2578125,69.80859375,1,7.928566774353385
Weather,0.008310981,NVIDIA GH200 120GB,336,2.0034976303577423,iTransformer,320976.0,320976.0,34.34033203125,70.18603515625,1,7.717229845002294
Weather,0.010391493,NVIDIA GH200 120GB,720,1.9882045045960695,iTransformer,370512.0,370512.0,34.56005859375,71.1923828125,1,8.026309113483876
ETTh1,0.07769363,NVIDIA GH200 120GB,96,2.2216069977730513,xCPD,229948.0,211324.0,35.1005859375,69.61181640625,1,9.830515133216977
ETTh1,0.079028894,NVIDIA GH200 120GB,192,2.1120134741067886,xCPD,279394.0,242146.0,35.29443359375,70.04833984375,1,10.64315102994442
ETTh1,0.08151563,NVIDIA GH200 120GB,336,2.372430358082056,xCPD,388123.0,322939.0,35.716796875,71.20947265625,1,10.715962154790759
ETTh1,0.090985454,NVIDIA GH200 120GB,720,2.340575907146558,xCPD,880819.0,741139.0,37.61669921875,78.775390625,1,10.952764097601175
ETTh2,0.07769363,NVIDIA GH200 120GB,96,2.389141730964184,xCPD,229948.0,211324.0,35.1005859375,69.61181640625,1,10.724639846011996
ETTh2,0.079028894,NVIDIA GH200 120GB,192,2.346424013376236,xCPD,279394.0,242146.0,35.29443359375,70.04833984375,1,11.506958026438951
ETTh2,0.08151563,NVIDIA GH200 120GB,336,2.3540081456303596,xCPD,388123.0,322939.0,35.716796875,71.20947265625,1,10.261814435943961
ETTh2,0.090985454,NVIDIA GH200 120GB,720,2.3710443638265133,xCPD,880819.0,741139.0,37.61669921875,78.775390625,1,10.491696186363697
ETTm1,0.096482246,NVIDIA GH200 120GB,96,2.8116508095990866,xCPD,428094.0,409470.0,35.59716796875,72.12744140625,1,14.213111018761992
ETTm1,0.09781751,NVIDIA GH200 120GB,192,2.795760380104184,xCPD,478566.0,441318.0,35.794921875,72.6181640625,1,14.253415167331696
ETTm1,0.100304246,NVIDIA GH200 120GB,336,2.8353463392704725,xCPD,588834.0,523650.0,36.22314453125,74.30224609375,1,14.054473442956805
ETTm1,0.10977407,NVIDIA GH200 120GB,720,2.859273599460721,xCPD,1085634.0,945954.0,38.138671875,82.6611328125,1,14.011773891979828
