dataset,horizon,mae,model,mse,seed
Traffic,336,0.3005735490874328,LatentFlow,0.46749236432634145,45
Traffic,336,0.30272606398524066,LatentFlow,0.4604230829338582,46
Traffic,720,0.31807813636845,LatentFlow,0.49146881208700643,42
Traffic,720,0.3176904925377131,LatentFlow,0.49584779061874296,43
Traffic,720,0.3156007152185296,LatentFlow,0.4885315060333116,44
Traffic,720,0.3159814805019984,LatentFlow,0.4937812131207309,45
Traffic,720,0.31439001826797486,LatentFlow,0.48891071282741716,46
Weather,96,0.21390171667402463,LatentFlow,0.16728448753957223,42
Weather,96,0.2135363554876087,LatentFlow,0.16748385235432967,43
Weather,96,0.21244098584170623,LatentFlow,0.16576364421081438,44
Weather,96,0.2133187449723805,LatentFlow,0.16644158285842253,45
Weather,96,0.2104491648021511,LatentFlow,0.16420154691678182,46
Weather,192,0.2551927824683744,LatentFlow,0.21354596359925804,42
Weather,192,0.2543178559677759,LatentFlow,0.21328350694861964,43
Weather,192,0.2578295327054666,LatentFlow,0.21451243150107824,44
Weather,192,0.2582373794013568,LatentFlow,0.21670704516821218,45
Weather,192,0.25552453894657057,LatentFlow,0.21526644318518767,46
Weather,336,0.2985933936166014,LatentFlow,0.27262603924511813,42
Weather,336,0.2996672418216085,LatentFlow,0.27418203388984486,43
Weather,336,0.2991313967099949,LatentFlow,0.27397567632948405,44
Weather,336,0.30039976187299394,LatentFlow,0.2758081530352698,45
Weather,336,0.2993747248674269,LatentFlow,0.2755132657771087,46
Weather,720,0.3532897798650574,LatentFlow,0.35555996850853744,42
Weather,720,0.3480680971487005,LatentFlow,0.35034044455641483,43
Weather,720,0.3492251244364064,LatentFlow,0.35101765657013184,44
Weather,720,0.3494161614447048,LatentFlow,0.3522480572984346,45
Weather,720,0.3494759547998711,LatentFlow,0.35224466667015586,46
ETTh1,96,0.41213521071965037,TimeMixer,0.40208427526710927,42
ETTh1,192,0.4469818938783125,TimeMixer,0.46457999937614847,42
ETTh1,336,0.46228864084082183,TimeMixer,0.4958771858487071,42
ETTh1,720,0.4938489929505419,TimeMixer,0.5202320677121207,42
ETTh2,96,0.3430299384192217,TimeMixer,0.2923010235333367,42
ETTh2,192,0.39763929471132103,TimeMixer,0.38165545355898095,42
ETTh2,336,0.4324186259585643,TimeMixer,0.42072217891907193,42
ETTh2,720,0.4457545881501895,TimeMixer,0.4301347775035946,42
ETTm1,96,0.37736835195134555,TimeMixer,0.35301202541218957,42
ETTm1,192,0.40208838219080617,TimeMixer,0.3993619825710229,42
ETTm1,336,0.41869192967204555,TimeMixer,0.4288257520237154,42
ETTm1,720,0.4612365069755354,TimeMixer,0.5015983811513608,42
ETTm2,96,0.2713640812802988,TimeMixer,0.18733775400899283,42
ETTm2,192,0.31327325648402116,TimeMixer,0.2535888375359248,42
ETTm2,336,0.3510650045738568,TimeMixer,0.3140263134517504,42
ETTm2,720,0.4084731058620082,TimeMixer,0.4175500661736361,42
Electricity,96,0.2902603898381991,TimeMixer,0.20428420260187377,42
Electricity,192,0.29188443218177607,TimeMixer,0.2044202612039483,42
Electricity,336,0.310139168644117,TimeMixer,0.22238276339564314,42
Electricity,720,0.340280033806846,TimeMixer,0.26262743135592936,42
Traffic,96,0.40682048279928157,TimeMixer,0.6419499251264376,42
