ci95_high,ci95_low,dataset,horizon,mean,metric,model,paper_value,seeds,std
0.5639401349698694,0.5639401349698694,Traffic,720,0.5639401349698694,mse,xCPD,0.5639,1,0.0
0.3435197665716468,0.3435197665716468,Traffic,720,0.3435197665716468,mae,xCPD,0.3435,1,0.0
0.39567699300291964,0.39567699300291964,ETTh1,96,0.39567699300291964,mse,TimePro,0.3957,1,0.0
0.40937122595435566,0.40937122595435566,ETTh1,96,0.40937122595435566,mae,TimePro,0.4094,1,0.0
0.45101260500532314,0.45101260500532314,ETTh1,192,0.45101260500532314,mse,TimePro,0.4510,1,0.0
0.438956172033638,0.438956172033638,ETTh1,192,0.438956172033638,mae,TimePro,0.4390,1,0.0
0.4838739426674556,0.4838739426674556,ETTh1,336,0.4838739426674556,mse,TimePro,0.4839,1,0.0
0.45556990441452244,0.45556990441452244,ETTh1,336,0.45556990441452244,mae,TimePro,0.4556,1,0.0
0.5151804667763313,0.5151804667763313,ETTh1,720,0.5151804667763313,mse,TimePro,0.5152,1,0.0
0.4957512531235826,0.4957512531235826,ETTh1,720,0.4957512531235826,mae,TimePro,0.4958,1,0.0
0.29814079453764364,0.29814079453764364,ETTh2,96,0.29814079453764364,mse,TimePro,0.2981,1,0.0
0.34869215242004786,0.34869215242004786,ETTh2,96,0.34869215242004786,mae,TimePro,0.3487,1,0.0
0.3775067888668014,0.3775067888668014,ETTh2,192,0.3775067888668014,mse,TimePro,0.3775,1,0.0
0.3971484885017911,0.3971484885017911,ETTh2,192,0.3971484885017911,mae,TimePro,0.3971,1,0.0
0.4183147705472937,0.4183147705472937,ETTh2,336,0.4183147705472937,mse,TimePro,0.4183,1,0.0
0.43004225745464375,0.43004225745464375,ETTh2,336,0.43004225745464375,mae,TimePro,0.4300,1,0.0
0.4286815907901354,0.4286815907901354,ETTh2,720,0.4286815907901354,mse,TimePro,0.4287,1,0.0
0.44512384791440857,0.44512384791440857,ETTh2,720,0.44512384791440857,mae,TimePro,0.4451,1,0.0
0.3534657453956536,0.3534657453956536,ETTm1,96,0.3534657453956536,mse,TimePro,0.3535,1,0.0
