dataset,horizon,mae_mean,mae_std,mse_mean,mse_std,runs,variant
Weather,336,0.29835015618722355,0.0010768168156024126,0.2737170133596939,0.001661745939676387,5,no_linear_bank
Weather,720,0.3484712765159719,0.0014517587052624288,0.35036977742835596,0.0014284443265004585,5,no_linear_bank
Weather,96,0.216118279301969,0.002590104301377801,0.16949680564717068,0.002550556275593956,5,no_linear_bank
ETTh1,192,0.4346231114121468,0.004320162164752813,0.44954085310264313,0.005446687578268741,5,no_multiscale
ETTh1,336,0.4510337220302805,0.0017187741603632667,0.48521767288362383,0.004842638588565937,5,no_multiscale
ETTh1,720,0.47991173787303093,0.0023391039871450015,0.4957981864926005,0.003427415486494696,5,no_multiscale
ETTh1,96,0.40470579749530755,0.004929688716735268,0.39644365926232006,0.0038823682052780287,5,no_multiscale
ETTh2,192,0.3949328985928446,0.0017381582241382146,0.3815971515091241,0.0032877412026274585,5,no_multiscale
ETTh2,336,0.42761555946757657,0.005702160683888298,0.42137709009375407,0.01180356005841725,5,no_multiscale
ETTh2,720,0.445525856043004,0.00761927480610584,0.4278834563246673,0.012601754837988907,5,no_multiscale
ETTh2,96,0.3407714985239819,0.00047326762753933195,0.2942938080169894,0.002190732198821414,5,no_multiscale
ETTm1,192,0.4005976781949355,0.0060795801042007125,0.390598783227314,0.00962683925142863,5,no_multiscale
ETTm1,336,0.41807887589896797,0.004925725498393763,0.4164377365587229,0.012209050546340475,5,no_multiscale
ETTm1,720,0.4633715525336558,0.00607371846205344,0.48765952053387895,0.006620142204225372,5,no_multiscale
ETTm1,96,0.3784683643677737,0.0028487456442642593,0.3436951194608958,0.003889887625454544,5,no_multiscale
ETTm2,192,0.30173695581438714,0.001148576725347522,0.24187702602075425,0.0009420320781012738,5,no_multiscale
ETTm2,336,0.34504870585200353,0.0014078266739155014,0.30813242336475494,0.002466892685513272,5,no_multiscale
ETTm2,720,0.40162375188454524,0.001061072412403651,0.40906732373748156,0.0018039860590093873,5,no_multiscale
ETTm2,96,0.2596590542631794,0.000869262237225,0.1761374563310772,0.0007107860277776168,5,no_multiscale
Electricity,192,0.26770246354712846,0.0017670778703853239,0.17857064291072203,0.0023564705547165178,5,no_multiscale
Electricity,336,0.28459331729018683,0.0022922723690393483,0.19491078976730009,0.0029268556238443437,5,no_multiscale
Electricity,720,0.3194874765508218,0.006861373839291442,0.23823860565168803,0.00888033418842979,5,no_multiscale
Electricity,96,0.2573123382931155,0.001477341484030261,0.16559594223882618,0.0022120628260723684,5,no_multiscale
Traffic,192,0.30976852683403483,0.0017156966790312686,0.4656496996719649,0.004129661622095635,5,no_multiscale
Traffic,336,0.3120514040366293,0.0014705749973790115,0.4755098846380245,0.0024544970429987885,5,no_multiscale
Traffic,720,0.32840720906305015,0.0020539229367191442,0.5058217437563902,0.0035544177464658126,5,no_multiscale
Traffic,96,0.30998069797904326,0.0028476659478280167,0.458462488199451,0.005374541244915564,5,no_multiscale
