clustered_ci95_high,clustered_ci95_low,contrast_plus_minus,dataset,effect,interpretation,metric,paired_dataset_horizon_seed_cells
0.0018859635650375697,0.0018859635650375697,0.0018859635650375697,ETTm2,scale_x_bank,negative contrast favors the +1 level(s),mae,12
-0.0006629476423888324,-0.0006629476423888324,-0.0006629476423888324,Weather,scale_x_bank,negative contrast favors the +1 level(s),mae,12
-2.4012323389023076e-05,-2.4012323389023076e-05,-2.4012323389023076e-05,Electricity,scale_x_bank,negative contrast favors the +1 level(s),mae,12
-0.0032969628605788053,-0.0032969628605788053,-0.0032969628605788053,Traffic,scale_x_bank,negative contrast favors the +1 level(s),mae,12
3.380989723773737e-05,-0.0015645677172886115,-0.0006793014180074028,ALL,scale_x_continuation,negative contrast favors the +1 level(s),mae,84
0.00027904579042665215,0.00027904579042665215,0.00027904579042665215,ETTh1,scale_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.00020042209559248172,-0.00020042209559248172,-0.00020042209559248172,ETTh2,scale_x_continuation,negative contrast favors the +1 level(s),mae,12
0.0002680687329828027,0.0002680687329828027,0.0002680687329828027,ETTm1,scale_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.00015821037325744816,-0.00015821037325744816,-0.00015821037325744816,ETTm2,scale_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.00034418616772672526,-0.00034418616772672526,-0.00034418616772672526,Weather,scale_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.001688022017950969,-0.001688022017950969,-0.001688022017950969,Electricity,scale_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.00291138379493365,-0.00291138379493365,-0.00291138379493365,Traffic,scale_x_continuation,negative contrast favors the +1 level(s),mae,12
1.9049974788951096e-06,-0.0015842369211557692,-0.0007054754798963275,ALL,bank_x_continuation,negative contrast favors the +1 level(s),mae,84
0.0003559902841287846,0.0003559902841287846,0.0003559902841287846,ETTh1,bank_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.00020042209559248172,-0.00020042209559248172,-0.00020042209559248172,ETTh2,bank_x_continuation,negative contrast favors the +1 level(s),mae,12
0.0002680687329828027,0.0002680687329828027,0.0002680687329828027,ETTm1,bank_x_continuation,negative contrast favors the +1 level(s),mae,12
